stream,flow,flow(cm/s),number,extraction,extraction_concentration,extraction_260/280,primer
eagle,fast,109.1,1,ps,198.8,1.9,rbcl
eagle,fast,89.31,2,ps,141.3,1.92,rbcl
eagle,fast,60.91,3,ps,160.8,1.92,rbcl
eagle,fast,82.68,4,ps,172.1,1.9,rbcl
eagle,fast,160.34,5,ps,171.1,1.91,rbcl
eagle,slow,8.42,6,ps,185.1,1.89,rbcl
eagle,slow,8.42,6,ps,185.1,1.89,rbcl
eagle,slow,8.42,6,ps,185.1,1.89,rbcl
eagle,slow,8.42,6,ps,185.1,1.89,rbcl
eagle,slow,8.42,6,ps,185.1,1.89,rbcl
eagle,slow,30.1,7,ps,250.1,1.89,rbcl
eagle,slow,7.7,8,ps,196.8,1.9,rbcl
eagle,slow,7.7,8,ps,196.8,1.9,rbcl
eagle,slow,7.7,8,ps,196.8,1.9,rbcl
eagle,slow,7.7,8,ps,196.8,1.9,rbcl
eagle,slow,7.7,8,ps,196.8,1.9,rbcl
eagle,slow,18.81,9,ps,128.2,1.91,rbcl
eagle,slow,18.81,9,ps,128.2,1.91,rbcl
eagle,slow,18.81,9,ps,128.2,1.91,rbcl
eagle,slow,18.81,9,ps,128.2,1.91,rbcl
eagle,slow,18.81,9,ps,128.2,1.91,rbcl
eagle,slow,12,10,ps,261,1.9,rbcl
eagle,slow,12,10,ps,261,1.9,rbcl
eagle,slow,12,10,ps,261,1.9,rbcl
eagle,slow,12,10,ps,261,1.9,rbcl
eagle,slow,12,10,ps,261,1.9,rbcl
eagle,fast,109.1,1,ps,198.8,1.9,18s
eagle,fast,89.31,2,ps,141.3,1.92,18s
eagle,fast,60.91,3,ps,160.8,1.92,18s
eagle,fast,82.68,4,ps,172.1,1.9,18s
eagle,fast,160.34,5,ps,171.1,1.91,18s
eagle,slow,8.42,6,ps,185.1,1.89,18s
eagle,slow,8.42,6,ps,185.1,1.89,18s
eagle,slow,8.42,6,ps,185.1,1.89,18s
eagle,slow,8.42,6,ps,185.1,1.89,18s
eagle,slow,8.42,6,ps,185.1,1.89,18s
eagle,slow,30.1,7,ps,250.1,1.89,18s
eagle,slow,30.1,7,ps,250.1,1.89,18s
eagle,slow,30.1,7,ps,250.1,1.89,18s
eagle,slow,30.1,7,ps,250.1,1.89,18s
eagle,slow,30.1,7,ps,250.1,1.89,18s
eagle,slow,7.7,8,ps,196.8,1.9,18s
eagle,slow,7.7,8,ps,196.8,1.9,18s
eagle,slow,7.7,8,ps,196.8,1.9,18s
eagle,slow,7.7,8,ps,196.8,1.9,18s
eagle,slow,7.7,8,ps,196.8,1.9,18s
eagle,slow,18.81,9,ps,128.2,1.91,18s
eagle,slow,18.81,9,ps,128.2,1.91,18s
eagle,slow,18.81,9,ps,128.2,1.91,18s
eagle,slow,18.81,9,ps,128.2,1.91,18s
eagle,slow,18.81,9,ps,128.2,1.91,18s
eagle,slow,12,10,ps,261,1.9,18s
eagle,slow,12,10,ps,261,1.9,18s
eagle,slow,12,10,ps,261,1.9,18s
eagle,slow,12,10,ps,261,1.9,18s
johnson,fast,64.32,11,ps,221.2,1.9,rbcl
johnson,fast,71.22,12,ps,809.5,1.88,rbcl
johnson,fast,134.82,13,ps,312.8,1.89,rbcl
johnson,fast,130.97,14,ps,529.4,1.87,rbcl
johnson,fast,21.32,15,ps,464.1,1.89,rbcl
johnson,slow,0.99,16,ps,352.1,1.89,rbcl
johnson,slow,0,17,ps,275,1.9,rbcl
johnson,slow,0.99,18,ps,344.5,1.89,rbcl
johnson,slow,0.09,19,ps,115.4,1.92,rbcl
johnson,slow,0.9,20,ps,343.9,1.89,rbcl
johnson,fast,64.32,11,ps,221.2,1.9,18s
johnson,fast,71.22,12,ps,809.5,1.88,18s
johnson,fast,134.82,13,ps,312.8,1.89,18s
johnson,fast,130.97,14,ps,529.4,1.87,18s
johnson,fast,21.32,15,ps,464.1,1.89,18s
johnson,slow,0.99,16,ps,352.1,1.89,18s
johnson,slow,0,17,ps,275,1.9,18s
johnson,slow,0.99,18,ps,344.5,1.89,18s
johnson,slow,0.09,19,ps,115.4,1.92,18s
johnson,slow,0.9,20,ps,343.9,1.89,18s
eagle,fast,109.1,1,bt,154.5,2.03,rbcl
eagle,fast,89.31,2,bt,144.9,1.99,rbcl
eagle,fast,60.91,3,bt,195,2.03,rbcl
eagle,fast,82.68,4,bt,321.2,2.07,rbcl
eagle,fast,160.34,5,bt,165.4,2.02,rbcl
eagle,slow,8.42,6,bt,138.3,2.05,rbcl
eagle,slow,30.1,7,bt,229,2.03,rbcl
eagle,slow,7.7,8,bt,179.3,2.01,rbcl
eagle,slow,18.81,9,bt,188.1,1.99,rbcl
eagle,slow,12,10,bt,161.9,2.02,rbcl
eagle,fast,109.1,1,bt,154.5,2.03,18s
eagle,fast,89.31,2,bt,144.9,1.99,18s
eagle,fast,60.91,3,bt,195,2.03,18s
eagle,fast,82.68,4,bt,321.2,2.07,18s
eagle,fast,160.34,5,bt,165.4,2.02,18s
eagle,slow,8.42,6,bt,138.3,2.05,18s
eagle,slow,30.1,7,bt,229,2.03,18s
eagle,slow,7.7,8,bt,179.3,2.01,18s
eagle,slow,18.81,9,bt,188.1,1.99,18s
eagle,slow,12,10,bt,161.9,2.02,18s
johnson,fast,64.32,11,bt,269.8,1.96,rbcl
johnson,fast,71.22,12,bt,524.6,2.05,rbcl
johnson,fast,134.82,13,bt,491.9,2.06,rbcl
johnson,fast,130.97,14,bt,275,2.05,rbcl
johnson,fast,21.32,15,bt,272,2.02,rbcl
johnson,slow,0.99,16,bt,239.6,1.95,rbcl
johnson,slow,0,17,bt,230.5,1.88,rbcl
johnson,slow,0.99,18,bt,76.2,2.13,rbcl
johnson,slow,0.99,18A,bt,191.5,1.9,rbcL
johnson,slow,0.99,18B,bt,146,1.91,rbcL
johnson,slow,0.99,18C,bt,188.6,1.92,rbcL
johnson,slow,0.09,19,bt,154,1.87,rbcl
johnson,slow,0.9,20,bt,197.7,1.89,rbcl
johnson,fast,64.32,11,bt,269.8,1.96,18s
johnson,fast,71.22,12,bt,524.6,2.05,18s
johnson,fast,134.82,13,bt,491.9,2.06,18s
johnson,fast,130.97,14,bt,275,2.05,18s
johnson,fast,21.32,15,bt,272,2.02,18s
johnson,slow,0.99,16,bt,239.6,1.95,18s
johnson,slow,0,17,bt,230.5,1.88,18s
johnson,slow,0.99,18,bt,76.2,2.13,18s
johnson,slow,0.99,18A,bt,191.5,1.9,18s
johnson,slow,0.99,18B,bt,146,1.91,18s
johnson,slow,0.99,18C,bt,188.6,1.92,18s
johnson,slow,0.09,19,bt,154,1.87,18s
johnson,slow,0.9,20,bt,197.7,1.89,18s
